experiment_id,cate_group,n,n_treated,n_control,events,events_treated,events_control,treated_rate,control_rate,observed_uplift,mean_cate
20260820T133011Z_9d0f69f5,Q1_low,200000,169307,30693,837,748,89,0.0044180098873643735,0.0028996839670283126,0.0015183259203360609,-0.0011232793996899801
20260820T133011Z_9d0f69f5,Q2,200000,169882,30118,11,11,0,6.475082704465452e-05,0.0,6.475082704465452e-05,-8.384806576306643e-08
20260820T133011Z_9d0f69f5,Q3,200000,169826,30174,21,20,1,0.00011776759742324497,3.314111486710413e-05,8.462648255614085e-05,2.799865718866993e-05
20260820T133011Z_9d0f69f5,Q4,200000,169594,30406,162,152,10,0.0008962581223392337,0.00032888245740972177,0.000567375664929512,0.00039753561348077293
20260820T133011Z_9d0f69f5,Q5_high,200000,171176,28824,1863,1696,167,0.009907931018367061,0.0057937829586455734,0.004114148059721488,0.003969056458226036
20260820T133445Z_b368a842,Q1_low,200000,169418,30582,3153,2704,449,0.01596052367517029,0.014681838990255706,0.001278684684914582,-0.0033157223313266637
20260820T133445Z_b368a842,Q2,200000,169503,30497,325,289,36,0.0017049845725444388,0.0011804439780962062,0.0005245405944482326,0.00015111439202792262
20260820T133445Z_b368a842,Q3,200000,170013,29987,904,792,112,0.004658467293677543,0.0037349518124520625,0.0009235154812254802,0.0012831852737386865
20260820T133445Z_b368a842,Q4,200000,169455,30545,3880,3361,519,0.01983417426455401,0.016991324275658862,0.002842849988895148,0.004886473453438574
20260820T133445Z_b368a842,Q5_high,200000,171396,28604,38819,34164,4655,0.1993278722957362,0.1627394769962243,0.03658839529951191,0.03606459564786637
20260820T134028Z_24c4938a,Q1_low,200000,169732,30268,179,164,15,0.0009662291141328683,0.0004955728822518832,0.0004706562318809851,-0.0007062157111333014
20260820T134028Z_24c4938a,Q2,200000,169699,30301,12,12,0,7.071343967848957e-05,0.0,7.071343967848957e-05,4.3258668031443e-08
20260820T134028Z_24c4938a,Q3,200000,169623,30377,26,23,3,0.00013559481909882504,9.875892945320473e-05,3.683588964562031e-05,1.555665810510592e-05
20260820T134028Z_24c4938a,Q4,200000,169690,30310,114,107,7,0.0006305616123519358,0.00023094688221709007,0.00039961473013484577,0.00035917952946715984
20260820T134028Z_24c4938a,Q5_high,200000,171041,28959,2563,2321,242,0.013569845826439275,0.008356642149245485,0.00521320367719379,0.004824264894177844
20260820T140035Z_5c4d37eb,Q1_low,200000,169854,30146,4037,3450,587,0.020311561694160866,0.01947190340343661,0.0008396582907242572,-0.004200123867403271
20260820T140035Z_5c4d37eb,Q2,200000,169563,30437,322,283,39,0.001668996184309077,0.001281335217005618,0.00038766096730345886,8.18329108227773e-05
20260820T140035Z_5c4d37eb,Q3,200000,169582,30418,1033,890,143,0.00524819851163449,0.004701163784601223,0.000547034727033267,0.0012326140186089578
20260820T140035Z_5c4d37eb,Q4,200000,169378,30622,4127,3591,536,0.021201100497112966,0.017503755469923585,0.0036973450271893804,0.004732690178094465
20260820T140035Z_5c4d37eb,Q5_high,200000,171408,28592,37562,33096,4466,0.19308316998039765,0.15619753777280357,0.03688563220759408,0.031971941619591736
